gas_saturation_fraction,water_relative_permeability,gas_relative_permeability
0.0,1,0
0.0029292929292930037,0.939791229553789,0.00121122255205026
0.005858585858586007,0.833929022600449,0.00242244510410053
0.008787878787879011,0.715671396930016,0.00363366765615078
0.011717171717172015,0.602097076118152,0.00484489020820105
0.014646464646465018,0.500975826666115,0.00605611276025131
0.017575757575758022,0.414909782195114,0.00726733531230156
0.020505050505051026,0.343787742008448,0.00847855786435183
0.02343434343434303,0.28620719825407,0.00968978041640209
0.026363636363636034,0.240272524484281,0.0109010029684524
0.029292929292929037,0.204021996930859,0.0121122255205026
0.03222222222222204,0.175638454941358,0.0133234480725529
0.035151515151515045,0.153537352884845,0.0145346706246031
0.03808080808080805,0.136388169035237,0.0157458931766534
0.04101010101010106,0.123101964292002,0.0169571157287037
0.043939393939393945,0.112803826851957,0.0181683382807539
0.04686868686868695,0.104800524867428,0.0193795608328042
0.04979797979797995,0.0985487373467013,0.0205907833848544
0.052727272727272956,0.0936263845549637,0.0218020059369047
0.05565656565656596,0.0897079915650246,0.023013228488955
0.05858585858585896,0.0865441760115693,0.0242244510410052
0.06151515151515197,0.0839449396714036,0.0254356735930555
0.06444444444444497,0.0817662746588924,0.0266468961451058
0.06737373737373697,0.0798995570998264,0.027858118697156
0.07030303030302998,0.0782632291759945,0.0290693412492063
0.07323232323232298,0.0767963275745921,0.0302805638012565
0.07616161616161599,0.0754534824747292,0.0314917863533068
0.07909090909090899,0.0742010758419036,0.0327030089053571
0.082020202020202,0.0730143061265586,0.0339142314574073
0.084949494949495,0.0718749566988337,0.0351254540094576
0.087878787878788,0.0707697073460296,0.0363366765615078
0.090808080808081,0.0696888625485406,0.0375478991135581
0.09373737373737401,0.0686253979928514,0.0387591216656084
0.09666666666666701,0.0675742489076877,0.0399703442176586
0.09959595959596002,0.0665317812993072,0.0411815667697089
0.10252525252525302,0.0654954008832973,0.0423927893217591
0.10545454545454502,0.0644632652062159,0.0436040118738094
0.10838383838383801,0.0634340727404853,0.0448152344258597
0.11131313131313103,0.0624069091275314,0.0460264569779099
0.11424242424242405,0.0613811356475152,0.0472376795299602
0.11717171717171704,0.0603563087375045,0.0484489020820105
0.12010101010101003,0.0593321222243607,0.0496601246340607
0.12303030303030305,0.0583083660896072,0.050871347186111
0.12595959595959605,0.05728489720235,0.0520825697381613
0.12888888888888905,0.0562616186686435,0.0532937922902115
0.13181818181818195,0.0552384653490653,0.0545050148422618
0.13474747474747495,0.054215393765958,0.055716237394312
0.13767676767676795,0.0531923751156213,0.0569274599463623
0.14060606060606096,0.0521693904629048,0.0581386824984126
0.14353535353535396,0.0511464274597397,0.0593499050504628
0.14646464646464696,0.0501234781206084,0.0605611276025131
0.14939393939393897,0.0491005373259031,0.0617723501545633
0.15232323232323197,0.0480776018229014,0.0629835727066136
0.15525252525252498,0.0470546695643502,0.0641947952586639
0.15818181818181798,0.0460317392742876,0.0654060178107142
0.161111111111111,0.0450088101655558,0.0666172403627646
0.164040404040404,0.0439858817577055,0.0678284629148152
0.166969696969697,0.0429629537607449,0.0690396854668665
0.16989898989899,0.0419400260016709,0.0702509080189195
0.17282828282828297,0.0409170983785282,0.071462130570977
0.175757575757576,0.0398941708319967,0.0726733531230459
0.178686868686869,0.0388712433280242,0.0738845756751438
0.181616161616162,0.0378483158473373,0.0750957982273139
0.18454545454545504,0.0368253883791887,0.076307020779661
0.18747474747474702,0.0358024609176784,0.0775182433324356
0.19040404040404002,0.0347795334596207,0.0787294658862299
0.19333333333333302,0.0337566060033252,0.0799406884424227
0.19626262626262603,0.0327336785479113,0.0811519110041843
0.19919191919191903,0.0317107510929293,0.0823631335787141
0.20212121212121203,0.0306878236381541,0.0835743561821625
0.20505050505050504,0.0296648961834756,0.0847855788503338
0.20797979797979804,0.0286419687288412,0.0859968016616988
0.21090909090909105,0.0276190412742264,0.0872080247863309
0.21383838383838405,0.0265961138196199,0.0884192485888658
0.21676767676767705,0.025573186365017,0.0896304738428816
0.21969696969696995,0.0245502589104155,0.0908417021727912
0.22262626262626295,0.0235273314558146,0.092052936955785
0.22555555555555595,0.0225044040012138,0.0932641851452465
0.22848484848484893,0.0214814765466132,0.0944754609228875
0.23141414141414096,0.0204585490920125,0.0956867929475779
0.23434343434343397,0.0194356216374119,0.0968982386163574
0.23727272727272697,0.0184126941828113,0.0981099118802904
0.24020202020201997,0.0173897667282107,0.0993220370453246
0.24313131313131298,0.01636683927361,0.100535051985161
0.24606060606060598,0.0153439118190094,0.101749804576214
0.24898989898989898,0.0143209843644088,0.102967923667296
0.251919191919192,0.0132980569098081,0.104192514414672
0.254848484848485,0.0122751294552075,0.105429452189031
0.257777777777778,0.0112522020006069,0.106689773770413
0.260707070707071,0.0102292745460063,0.107994068140178
0.263636363636364,0.00920634709140564,0.109380493605318
0.266565656565657,0.00818341963680501,0.110919352268197
0.26949494949495,0.00716049218220439,0.112739526746694
0.272424242424242,0.00613756472760376,0.115076507008323
0.275353535353535,0.00511463727300313,0.118360324177297
0.278282828282828,0.00409170981840251,0.123379464249915
0.281212121212121,0.00306878236380188,0.131596591290754
0.28414141414141403,0.00204585490920125,0.145788736249146
0.28707070707070703,0.00102292745460063,0.17143819932918
0.29000000000000004,0,0.22
