time_days,pressure_bar,mass_kg,cumulative_source_kg,cumulative_produced_kg,cumulative_leaked_kg,cumulative_consumed_kg,production_sm3_day,source_sm3_day,leakage_sm3_day,consumption_kg_day,stage_index,balance_residual_kg
0.0,499.99999999999994,48764673.20574434,0.0,0.0,0.0,0.0,643394.9349760438,0.0,0.0,0.0,0,0.0
365.25,288.5647500476743,29901356.269813187,0.0,18863316.935931146,0.0,0.0,521924.0723836304,0.0,0.0,0.0,0,-7.450580596923828e-09
730.5,202.802389676616,21565912.496548403,0.0,27198760.70919593,0.0,0.0,142611.48012922314,0.0,0.0,0.0,0,-7.450580596923828e-09
1095.75,176.65994259519744,18937831.53863695,0.0,29826841.667107385,0.0,0.0,51728.268742230925,0.0,0.0,0.0,0,-7.450580596923828e-09
1461.0,166.82826148338864,17938478.442501146,0.0,30826194.763243187,0.0,0.0,20614.390436671503,0.0,0.0,0.0,0,-7.450580596923828e-09
1826.25,162.85506366985177,17532892.05159168,0.0,31231781.154152654,0.0,0.0,8519.91059760587,0.0,0.0,0.0,0,-7.450580596923828e-09
2191.5,161.20354452196526,17364010.178721946,0.0,31400663.027022388,0.0,0.0,3574.095775075854,0.0,0.0,0.0,0,-7.450580596923828e-09
2556.75,160.50908076009614,17292943.71483226,0.0,31471729.490912072,0.0,0.0,1508.6821180807901,0.0,0.0,0.0,0,-7.450580596923828e-09
2922.0,160.21564227470833,17262906.11829404,0.0,31501767.087450292,0.0,0.0,638.5089949879919,0.0,0.0,0.0,0,-7.450580596923828e-09
3287.25,160.0913996306344,17250186.47217676,0.0,31514486.733567573,0.0,0.0,270.5312385239587,0.0,0.0,0.0,0,-7.450580596923828e-09
3652.5,160.0387495355759,17244795.99363916,0.0,31519877.212105174,0.0,0.0,114.67575319658883,0.0,0.0,0.0,0,-7.450580596923828e-09
4017.75,160.01642993441973,17242510.791162826,0.0,31522162.414581507,0.0,0.0,48.61968599797337,0.0,0.0,0.0,0,-7.450580596923828e-09
4383.0,160.00696666932288,17241541.88093065,0.0,31523131.324813683,0.0,0.0,20.615283603819787,0.0,0.0,0.0,0,-7.450580596923828e-09
4748.25,160.00295408549667,17241131.044952683,0.0,31523542.16079165,0.0,0.0,8.741420311948023,0.0,0.0,0.0,0,-7.450580596923828e-09
5113.5,160.0012526349549,17240956.838414956,0.0,31523716.367329378,0.0,0.0,3.7066473976541907,0.0,0.0,0.0,0,-7.450580596923828e-09
5478.75,160.0005311626394,17240882.96892214,0.0,31523790.236822195,0.0,0.0,1.5717495264911052,0.0,0.0,0.0,0,-7.450580596923828e-09
5844.0,160.0002252325542,17240851.64560322,0.0,31523821.560141113,0.0,0.0,0.6664791771033626,0.0,0.0,0.0,0,-7.450580596923828e-09
6209.25,160.00009550697246,17240838.363364846,0.0,31523834.842379488,0.0,0.0,0.2826118281241069,0.0,0.0,0.0,0,-7.450580596923828e-09
6574.5,160.0000404985161,17240832.731203,0.0,31523840.474541333,0.0,0.0,0.1198379292254918,0.0,0.0,0.0,0,-7.450580596923828e-09
6939.75,160.00001717288228,17240830.3429566,0.0,31523842.862787735,0.0,0.0,0.05081575095285968,0.0,0.0,0.0,0,-7.450580596923828e-09
7305.0,160.0000072819434,17240829.33025102,0.0,31523843.875493314,0.0,0.0,0.021547775451169576,0.0,0.0,0.0,0,-7.450580596923828e-09
7670.25,160.00000308781594,17240828.900826037,0.0,31523844.304918297,0.0,0.0,0.009137061368323747,0.0,0.0,0.0,0,-7.450580596923828e-09
8035.5,160.0000013093493,17240828.718733802,0.0,31523844.48701053,0.0,0.0,0.0038744553050300084,0.0,0.0,0.0,0,-7.450580596923828e-09
8400.75,160.00000055521295,17240828.641519897,0.0,31523844.564224437,0.0,0.0,0.0016429135836929976,0.0,0.0,0.0,0,-7.450580596923828e-09
8766.0,160.0000002354309,17240828.608778305,0.0,31523844.59696603,0.0,0.0,0.0006966563111045794,0.0,0.0,0.0,0,-7.450580596923828e-09
9131.25,160.00000009983154,17240828.594894666,0.0,31523844.610849667,0.0,0.0,0.00029540843885241154,0.0,0.0,0.0,0,-7.450580596923828e-09
9496.5,160.00000004233223,17240828.58900747,0.0,31523844.616736863,0.0,0.0,0.00012526400700073236,0.0,0.0,0.0,0,-7.450580596923828e-09
9861.75,160.0000000179505,17240828.586511098,0.0,31523844.619233236,0.0,0.0,5.311676708101265e-05,0.0,0.0,0.0,0,-7.450580596923828e-09
10227.0,160.0000000076117,17240828.585452534,0.0,31523844.6202918,0.0,0.0,2.2523557288866646e-05,0.0,0.0,0.0,0,-7.450580596923828e-09
10592.25,160.00000000322768,17240828.585003667,0.0,31523844.620740667,0.0,0.0,9.550937631554687e-06,0.0,0.0,0.0,0,-7.450580596923828e-09
10957.5,160.00000000136868,17240828.584813327,0.0,31523844.620931007,0.0,0.0,4.050006626946995e-06,0.0,0.0,0.0,0,-7.450580596923828e-09
11322.75,160.00000000058037,17240828.584732614,0.0,31523844.62101172,0.0,0.0,1.7173589027756472e-06,0.0,0.0,0.0,0,-7.450580596923828e-09
11688.0,160.00000000024608,17240828.58469839,0.0,31523844.621045943,0.0,0.0,7.281534466315766e-07,0.0,0.0,0.0,0,-7.450580596923828e-09
12053.25,160.00000000010434,17240828.584683876,0.0,31523844.621060457,0.0,0.0,3.0873773418611604e-07,0.0,0.0,0.0,0,-7.450580596923828e-09
12418.5,160.00000000004425,17240828.584677726,0.0,31523844.621066608,0.0,0.0,1.3094651379125495e-07,0.0,0.0,0.0,0,-7.450580596923828e-09
12783.75,160.00000000001873,17240828.58467511,0.0,31523844.621069223,0.0,0.0,5.542309093669267e-08,0.0,0.0,0.0,0,-7.450580596923828e-09
13149.0,160.00000000000793,17240828.58467401,0.0,31523844.621070325,0.0,0.0,2.3464404205366854e-08,0.0,0.0,0.0,0,-7.450580596923828e-09
13514.25,160.00000000000338,17240828.584673543,0.0,31523844.62107079,0.0,0.0,1.0008115055335549e-08,0.0,0.0,0.0,0,-7.450580596923828e-09
13879.5,160.0000000000014,17240828.584673334,0.0,31523844.621071,0.0,0.0,4.120988552196966e-09,0.0,0.0,0.0,0,-7.450580596923828e-09
14244.75,160.0000000000006,17240828.584673256,0.0,31523844.621071078,0.0,0.0,1.7661379509415524e-09,0.0,0.0,0.0,0,-7.450580596923828e-09
14610.0,160.00000000000023,17240828.58467322,0.0,31523844.621071115,0.0,0.0,6.728144575015432e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
14975.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
15340.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
