scenario,duration_days,initial_mass_kg,final_mass_kg,final_pressure_bar,produced_kg,source_kg,leaked_kg,consumed_kg,produced_fraction_of_initial_inventory,max_balance_residual_kg,relative_balance_error,rhs_evaluations
No replenishment,3652.5,25050550.472186603,9430917.029567307,36.37294967035632,15619633.442619214,0.0,0.0,0.0,0.6235245592691286,8.475035429000854e-08,3.3831733312250398e-15,5261
"Replenishment 10,000 Sm³/day",3652.5,25050550.472186603,10532065.24543438,40.71593286537724,17630588.77757369,3112103.5508213127,0.0,0.0,0.7038004532933826,1.564621925354004e-07,5.555662204548484e-15,5261
"Replenishment 30,000 Sm³/day",3652.5,25050550.472186603,12551630.640660908,48.735326394980405,21835230.483989507,9336310.652463844,0.0,0.0,0.8716467332018497,1.4528632164001465e-07,4.225053316537379e-15,5249
First-order loss 0.02/year,3652.5,25050550.472186603,8612341.865618637,33.157788762264616,13731330.415628918,0.0,0.0,2706878.190939034,0.5481448573704872,2.2584572434425354e-08,9.015599261781013e-16,5249
Ideal gas (Z = 1),3652.5,26449566.709489405,9842015.137431843,37.21049666156077,16607551.57205747,0.0,0.0,0.0,0.6278950333843889,9.499490261077881e-08,3.591548536660797e-15,5237
Half gas pore volume,3652.5,12525275.236093301,4022877.9715189897,30.938993447250187,8502397.26457428,0.0,0.0,0.0,0.6788191959305976,3.818422555923462e-08,3.048573770993992e-15,5321
One-year shut-in + replenishment,3652.5,25050550.472186603,10896078.900303677,42.15617883149218,17266575.12270429,3112103.5508213127,0.0,0.0,0.6892692893864831,1.2665987014770508e-07,4.497440832253535e-15,5349
