time_days,pressure_bar,mass_kg,cumulative_source_kg,cumulative_produced_kg,cumulative_leaked_kg,cumulative_consumed_kg,production_sm3_day,source_sm3_day,leakage_sm3_day,consumption_kg_day,stage_index,balance_residual_kg
0.0,100.0,25050550.472186603,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0,0.0
14.969262295081966,99.46204534905269,24923005.24469392,0.0,127545.2274926768,0.0,0.0,100000.0,0.0,0.0,0.0,0,-5.8353180065751076e-09
29.938524590163933,98.9244075965581,24795460.017201245,0.0,255090.45498535363,0.0,0.0,100000.0,0.0,0.0,0.0,0,-4.190951585769653e-09
44.9077868852459,98.3870863836558,24667914.789708566,0.0,382635.68247803045,0.0,0.0,100000.0,0.0,0.0,0.0,0,-6.28642737865448e-09
59.877049180327866,97.8500813518048,24540369.562215887,0.0,510180.90997070726,0.0,0.0,100000.0,0.0,0.0,0.0,0,-8.381903171539307e-09
74.84631147540983,97.31339214278383,24412824.334723208,0.0,637726.1374633841,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.0477378964424133e-08
89.8155737704918,96.77701839869167,24285279.107230533,0.0,765271.3649560609,0.0,0.0,100000.0,0.0,0.0,0.0,0,-8.847564458847046e-09
104.78483606557377,96.24095976194796,24157733.879737854,0.0,892816.5924487376,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.1059455573558807e-08
119.75409836065573,95.7052158752934,24030188.652245175,0.0,1020361.8199414143,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.3271346688270569e-08
134.7233606557377,95.16978638179046,23902643.424752496,0.0,1147907.0474340913,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.5133991837501526e-08
149.69262295081967,94.63467092482362,23775098.197259817,0.0,1275452.274926768,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.7462298274040222e-08
164.66188524590163,94.09986914810032,23647552.969767142,0.0,1402997.5024194447,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.5832483768463135e-08
179.6311475409836,93.5653806956511,23520007.742274463,0.0,1530542.7299121213,0.0,0.0,100000.0,0.0,0.0,0.0,0,-1.816079020500183e-08
194.60040983606555,93.03120521183037,23392462.514781784,0.0,1658087.9574047981,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.0256265997886658e-08
209.56967213114754,92.49734234131701,23264917.287289105,0.0,1785633.184897475,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.2351741790771484e-08
224.5389344262295,91.96379172911477,23137372.059796426,0.0,1913178.4123901518,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.444721758365631e-08
239.50819672131146,91.43055302055316,23009826.83230375,0.0,2040723.6398828283,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.3050233721733093e-08
254.47745901639342,90.89762586128768,22882281.604811072,0.0,2168268.867375505,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.514570951461792e-08
269.4467213114754,90.36500989730084,22754736.377318393,0.0,2295814.094868182,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.7008354663848877e-08
284.41598360655735,89.83270477490254,22627191.149825715,0.0,2423359.3223608583,0.0,0.0,100000.0,0.0,0.0,0.0,0,-2.9802322387695312e-08
