time_days,dt_days,pressure_mean_bar,pressure_min_bar,pressure_max_bar,free_H2_kg,dissolved_H2_kg,gas_phase_production_kg_day,water_phase_production_kg_day,produced_dry_gas_H2_mole_fraction,bhp_bar,H2_kg,native_H2_kg,H2_rate_kg_day,H2_produced_kg,H2_supplied_kg,H2_balance_residual_kg,H2_physical_balance_residual_kg,N2_kg,native_N2_kg,N2_rate_kg_day,N2_produced_kg,N2_supplied_kg,N2_balance_residual_kg,N2_physical_balance_residual_kg,CH4_kg,native_CH4_kg,CH4_rate_kg_day,CH4_produced_kg,CH4_supplied_kg,CH4_balance_residual_kg,CH4_physical_balance_residual_kg,H2O_kg,native_H2O_kg,H2O_rate_kg_day,H2O_produced_kg,H2O_supplied_kg,H2O_balance_residual_kg,H2O_physical_balance_residual_kg
0.0,0.0,6.434540057784027,5.999557826243381,7.7100319676250875,872958.8128822612,25222.797731826613,0.0,0.0,0.0,6.0,898181.6106140763,898181.4109560957,0.0,0.0,0.0,0.0,0.0,126620.51583094963,126620.48957179357,0.0,0.0,0.0,0.0,0.0,74405.3770680575,74405.36163977478,0.0,0.0,0.0,0.0,0.0,2616886244.923656,2616885752.908214,0.0,0.0,0.0,0.0,0.0
0.0001,0.0001,6.434539939416159,5.999557820780091,7.710031967622356,872958.8057630305,25222.797686743772,92.52481378486215,6.914113129593217e-09,0.9800016540369257,2.9999999999999996,898181.6034497686,898181.4037812045,71.74881945685877,0.007174881945685877,0.0,-9.24119220816616e-09,1.0574308545722132e-05,126620.51481501825,126620.48855432835,10.174646297259587,0.0010174646297259587,0.0,-5.97324748040709e-10,1.5332472998979673e-06,74405.37648645957,74405.3610572808,5.824949568089814,0.0005824949568089814,0.0,9.69641727262445e-10,8.970329257444081e-07,2616886244.9309435,2616885752.90773,4.776398469568083,0.00047763984695680826,0.0,-6.349868619363614e-06,0.007765142135775168
0.00025,0.00015000000000000001,6.43453976390065,5.999557800309133,7.710031967616354,872958.795084359,25222.797619120644,92.52325768172894,7.035839922094306e-09,0.9800016538911044,2.9999999999999996,898181.592703464,898181.393019085,71.74759488151777,0.017937021177913542,0.0,1.0558124180493067e-08,2.640889650165623e-05,126620.51329114778,126620.48702815497,10.174472572662172,0.0025436355156252845,0.0,-3.0902319834991143e-09,3.833667737127705e-06,74405.3756140786,74405.36018355121,5.824850276483714,0.0014562224982815385,0.0,-1.0754869729165395e-09,2.2436010927483555e-06,2616886244.9420133,2616885752.907004,4.776339958101111,0.0011940908406719748,0.0,-1.6121866847556426e-05,0.01955136775717588
0.00047500000000000005,0.00022500000000000005,6.4345395050284235,5.999557742036805,7.71003196758584,872958.7790666971,25222.797517688283,92.52092719382748,7.218930995277517e-09,0.9800016536733299,2.9999999999999996,898181.5765843828,898181.3768763343,71.74576089863592,0.034079817380106625,0.0,5.6019334671031373e-08,5.0123920945999156e-05,126620.51100541007,126620.48473895215,10.17421239398076,0.004832833304270956,0.0,-8.12256164585412e-09,7.293737461644065e-06,74405.3743055449,74405.3588729906,5.824701572446617,0.0027667803520820275,0.0,-3.8265931248324114e-09,4.267757154925202e-06,2616886244.958948,2616885752.905906,4.776252335983092,0.002268747616268171,0.0,-3.914422943495418e-05,0.03756089620635606
0.0008125000000000001,0.0003375,6.434539126057152,5.99955759279069,7.7100319674253255,872958.7550410102,25222.797365545204,92.51743960692399,7.494670201472667e-09,0.9800016533488124,2.9999999999999996,898181.5524065446,898181.352663177,71.7430163226683,0.058293085389007175,0.0,1.6666686191574298e-07,8.55536965469958e-05,126620.50757694675,126620.48130527606,10.173823032825982,0.008266498577849725,0.0,-1.8936280375345116e-08,1.2495696264104919e-05,74405.37234283114,74405.35690722057,5.824479034830243,0.004732542026337235,0.0,-1.2184594759372114e-08,7.31566514912841e-06,2616886244.9848976,2616885752.904211,4.776121224094137,0.003880688529399942,0.0,-0.00012235941371529233,0.0651223152689019
0.00131875,0.00050625,6.434538576875297,5.999557230410644,7.710031966611506,872958.7190042549,25222.797137342204,92.51222646712748,7.91071479883051e-09,0.9800016528680752,2.9999999999999996,898181.5161415952,898181.3163455795,71.73891378884463,0.09461091049460976,0.0,3.942798665057534e-07,0.0001384294403558861,126620.50243458917,126620.47615501308,10.17324102087802,0.013416701844669223,0.0,-7.864890219991261e-08,2.0341384349666786e-05,74405.36939894973,74405.35395873022,5.82414638953592,0.007681016136039794,0.0,-2.8424700908129263e-08,1.1908365841768916e-05,2616886245.0250015,2616885752.9016347,4.77592527577962,0.0062985007002633745,0.0,-0.0002808984086233443,0.10764403979328095
0.002078125,0.0007593750000000001,6.434537791384305,5.999446878912911,7.710031962751656,872958.6649530937,25222.79679506238,92.50444751896099,8.540150568406507e-09,0.9800016521581177,2.9999999999999996,898181.4617481538,898181.2618739853,71.73279200934991,0.14908299942670986,0.0,8.890468873035129e-07,0.00021707695613279454,126620.49472201739,126620.46843030404,10.172372541006288,0.021141347242995875,0.0,-1.4228815048769605e-07,3.241500282824203e-05,74405.36498355631,74405.34953636116,5.8236500161980915,0.01210335036709022,0.0,-6.32574823477422e-08,1.8849182799944922e-05,2616886245.0873904,2616885752.897679,4.775632960946839,0.009924996979982382,0.0,-0.0006102431933574619,0.17365943301513864
0.0032171875,0.0011390624999999999,6.434536685243249,5.999226983215209,7.710031945907761,872958.5838852476,25222.796281694373,92.49286978369054,9.49503309136945e-09,0.9800016511167681,2.9999999999999996,898181.3801669395,898181.1801773485,71.72368058184487,0.23078075433946754,0.0,2.007217664079519e-06,0.00033361754245664343,126620.48315481715,126620.45684467109,10.17107991879418,0.03272684296299737,0.0,-2.7951844934481773e-07,5.0710479822344e-05,74405.35836141536,74405.34290362196,5.822911228766714,0.018736010188607304,0.0,-1.4263377730652782e-07,2.9368053677297085e-05,2616886245.1849546,2616885752.8914895,4.7751980637798335,0.015364246024506598,0.0,-0.0013603404623098083,0.27666290248812964
0.00492578125,0.0017085937499999996,6.4345351526151315,5.998900378201192,7.710031879377423,872958.462300804,25222.795511756092,92.47570369843218,1.0948737562809583e-08,0.9800016495646949,2.9999999999999996,898181.2578125644,898181.0576538086,71.71017093883799,0.35330430421699777,0.0,2.017162749612389e-06,0.0005027923379187227,126620.46580800472,126620.43946970056,10.169163330811699,0.050101811872751416,0.0,-2.811368760083366e-07,7.886696288172262e-05,74405.34843049065,74405.33295650221,5.821815821874949,0.028683128315513954,0.0,-1.4425322785935335e-07,4.5561464411206926e-05,2616886245.3394184,2616885752.8833394,4.774553617856289,0.02352201849501574,0.0,-0.0013526686998084798,0.43928444296400987
0.007488671874999999,0.0025628906249999996,6.434533057524826,5.998417608979374,7.710031646075501,872958.2799904024,25222.794356670263,92.45039610514179,1.5169667863306e-08,0.9800016470543657,2.9999999999999996,898181.0743470715,898180.8739195241,71.69025315313972,0.5370385819270562,0.0,2.0103917743874433e-06,0.0007715771363403512,126620.43978673859,126620.41341449137,10.166337742376871,0.07615702356327277,0.0,-2.7863950051443265e-07,0.0001128125155712284,74405.33353347566,74405.31803996481,5.820200889195937,0.04359966661005088,0.0,-1.4336100506717742e-07,6.508476954691922e-05,2616886245.5336185,2616885752.8710666,4.773604335598927,0.03575624429418158,0.0,-0.0013912776784746686,0.6457187076730878
0.011333007812499999,0.0038443359374999994,6.434530213213705,5.997709010263859,7.710030934693217,872958.0066220332,25222.792624487047,92.41339218396868,2.1726445102895873e-08,0.9800016434216404,2.9999999999999996,898180.7992465082,898180.5984300753,71.66112862620355,0.8125280340265805,0.0,2.0136887529664804e-06,0.0011604659322971278,126620.40077134581,126620.37434755403,10.162206028833051,0.11522395740419482,0.0,-2.821431928784479e-07,0.00016435358363990626,74405.31119739676,74405.29567423531,5.81783946947051,0.06596539596114229,0.0,-1.4350905627735777e-07,9.47352256152334e-05,2616886245.8301406,2616885752.8527303,4.772218081188025,0.054102253765279995,0.0,-0.0013815642889192237,0.9605868576471159
0.01709951171875,0.00576650390625,6.43452634770107,5.996679487347814,7.7100290833668135,872957.5967705116,25222.790027421892,92.35992974637166,3.1041819293266304e-08,0.980001638372313,2.9999999999999996,898180.3867979263,898180.1854385603,71.61904725310184,1.2255195497734954,0.0,2.0144241412722863e-06,0.0017033997890090191,126620.34228815393,126620.31578158194,10.15623607634924,0.17378993241125987,0.0,-2.792179790434002e-07,0.0002471367084448117,74405.27771611813,74405.26214531617,5.814427461740826,0.09949431463187802,0.0,-1.439808750558491e-07,0.00014237526498045439,2616886246.2971735,2616885752.8252296,4.770218986221558,0.08160974018299452,0.0,-0.0013747072962535245,1.455127253458141
