time_days,dt_days,pressure_mean_bar,pressure_min_bar,pressure_max_bar,gas_saturation_min,gas_saturation_max,gas_kg,native_gas_kg,water_kg,native_water_kg,production_kg_day,water_production_kg_day,bhp_bar,produced_kg,water_produced_kg,recharged_kg,lost_kg,gas_balance_residual_kg,water_balance_residual_kg,physical_gas_balance_residual_kg,production_sm3_day,produced_sm3
0.0,0.0,100.00001616034916,99.92239346054217,100.07767118085498,0.7999999999999999,0.8000000000000002,237508827.63149595,237508790.56407952,887130000.7897011,887129883.4646485,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.001,99.99948645273533,99.69137836976685,100.07767118087315,0.7999974422233712,0.8000000000000005,237507475.52768868,237507438.4591961,887130000.7744575,887129883.4646441,1352104.8924416462,5.032195995073448e-06,30.0,1352.1048924416461,5.0321959950734475e-09,0.0,0.0,9.009257837533369e-06,-4.405711517383833e-06,0.001085171119257211,1987785.8496901193,1987.7858496901192
0.0025,0.0015,99.99869859291431,99.35271070308394,100.07767118089969,0.7999936862034331,0.8000000000000007,237505464.68627065,237505427.59994227,887130000.840726,887129883.4646305,1340572.831926291,3.916539001557565e-06,30.0,3362.964140331083,1.0907004497409796e-08,0.0,0.0,3.0749374673177954e-06,-1.798969571767056e-05,0.01891503267825101,1970832.0860891326,4944.033978823818
0.004750000000000001,0.0022500000000000007,99.99753121587077,98.86165335518734,100.07767118093791,0.7999882755436684,0.8000000000000012,237502485.6777466,237502448.58851728,887130000.8127244,887129883.4645835,1324005.0913842134,4.103766991768072e-06,30.0,6341.975595945564,2.014048022888796e-08,0.0,0.0,3.3700910535117146e-05,-6.494892232494689e-05,0.021846586910214683,1946475.1590526449,9323.603086692272
0.008125,0.0033749999999999995,99.99581074323655,98.16104160087819,100.0776711809921,0.7999805743431104,0.8000000000000016,237498096.19925058,237498059.11971048,887130000.7552447,887129883.4645835,1300583.353452023,4.956052526921585e-06,30.0,10731.44441384614,3.686715750724831e-08,0.0,0.0,4.479826020542532e-05,-6.493219564766854e-05,0.012168472414487042,1912041.8843141112,15776.744446252394
0.013187500000000001,0.005062500000000001,99.99329345875135,97.18440900915431,100.07767118106727,0.7999697942839316,0.800000000000002,237491675.7207164,237491638.61050355,887130000.925633,887129883.4645834,1268248.7302769455,6.050154970770004e-06,30.0,17151.953610873177,6.749606704677145e-08,0.0,0.0,3.490443486953154e-05,-6.502077602767979e-05,0.04283130760450149,1864505.404887272,25215.80305849421
0.02078125,0.00759375,99.9896442765128,95.86718710188812,100.07767118116895,0.7999552849055538,0.800000000000003,237482371.9312752,237482334.7074575,887130001.2512591,887129883.4645834,1225205.3394452122,5.930592108083849e-06,30.0,26455.856657285258,1.1253150086753319e-07,0.0,0.0,3.527478838805109e-05,-6.497574059385903e-05,0.1564365215745056,1801225.5190616287,38893.859343868455
0.032171875,0.011390625000000001,99.98441042102043,94.16916238715716,100.07767118130263,0.7999365437177687,0.800000000000004,237469034.24549645,237468997.1532186,887130000.7170707,887129883.464583,1170923.8296189287,7.959840072851915e-06,30.0,39793.41090403837,2.0319905419736204e-07,0.0,0.0,4.311245720600709e-05,-6.524270090918155e-05,0.0249045376185677,1721424.005336126,58501.95465465027
0.049257812500000005,0.017085937500000002,99.97698779278134,92.10759217020747,100.07767118147336,0.7999138297607722,0.8000000000000053,237450127.74307254,237450090.59037405,887130000.9477912,887129883.4645828,1106556.9471209329,1.1087535028681189e-05,30.0,58699.973742737435,3.9263998472646956e-07,0.0,0.0,3.726687282323837e-05,-6.5291678557754e-05,0.08531932439655066,1626795.5642045112,86297.28198992579
0.07488671875000001,0.025628906250000007,99.96655654832122,89.78569271138048,100.07767118168458,0.7998881915596989,0.8000000000000068,237423567.42242277,237423530.06097117,887130001.5449878,887129883.4645818,1036350.48426328,2.176061635597551e-05,30.0,85260.50314606314,9.503407812559827e-07,0.0,0.0,3.771072078961879e-05,-6.568765207763074e-05,0.2940728772227885,1523582.1121969332,125345.02510759798
0.11333007812500001,0.038443359375,99.95196673129955,87.38858519579516,100.07767118193482,0.7998618074996396,0.8000000000000081,237386422.78894904,237386385.46072245,887130001.5054104,887129883.4645811,966216.2947187517,1.5222522734341909e-05,30.0,122405.10339791703,1.5355456933263965e-06,0.0,0.0,4.084038664586842e-05,-6.5817702902865e-05,0.2608510069840122,1420474.9122042265,179952.85264063664
0.17099511718750002,0.057665039062500006,99.93153512452685,85.12391808671288,100.07767118221143,0.7998368302930116,0.8000000000000097,237334397.04023772,237334359.40804636,887130002.2565494,887129883.4645768,902211.3489347438,2.0845035477113676e-05,30.0,174431.15607686987,2.7375754783733552e-06,0.0,0.0,4.371156683191657e-05,-6.890720754164618e-05,0.5648186420439743,1326378.569345882,256438.5246536298
0.25749267578125,0.08649755859375,99.90274454818145,83.13489062461136,100.07767118247051,0.799814916606297,0.800000000000013,237261063.17900372,237261025.48982033,887130002.3275158,887129883.4645748,847814.8911616687,2.2594199637399017e-05,30.0,247765.07430178009,4.691918585388162e-06,0.0,0.0,4.258833359926939e-05,-6.897942235699465e-05,0.6218095429940149,1246408.065844985,364249.779360779
0.387239013671875,0.129746337890625,99.86184730480804,81.45285245804784,100.07767118057838,0.7997963100592012,0.7999999999999954,237156858.5861978,237156820.6810607,887130002.6962292,887129883.4645692,803142.5815658695,2.7473459335673558e-05,30.0,351969.88306397427,8.256499323378809e-06,0.0,0.0,4.5152788516134024e-05,-7.101767822789072e-05,0.8377658151439391,1180733.4385406256,517445.61903643055
0.5818585205078125,0.19461950683593748,99.8033499796889,80.02099220838606,100.07767103258244,0.7997804887129133,0.799999999998485,237007774.56038785,237007735.9570401,887130004.8224009,887129883.4645308,766031.7634326862,4.416363426396096e-05,30.0,501054.6070839072,1.68516040439136e-05,0.0,0.0,4.4485379476100206e-05,-0.0001008079647427075,1.535975804377813,1126175.2755105714,736621.295767124
0.8737877807617187,0.2919292602539062,99.71927852998229,78.75902456253407,100.07766557994417,0.7997665770666509,0.7999999999433179,236793480.49079573,236793441.79384705,887130004.779576,887129883.4645153,734061.9539370524,4.426267425782094e-05,30.0,715348.7702772878,2.9773173796858884e-05,0.0,0.0,4.481896758079529e-05,-0.00010338360263136378,1.6295770667493343,1079175.1239040256,1051664.0913728438
1.311681671142578,0.43789389038085935,99.5980999489353,77.60846974215538,100.07755455025554,0.7997539370759641,0.7999999988200296,236484569.4891237,236484529.31057352,887130008.8993034,887129883.4644909,705450.54421485,4.471800074998579e-05,30.0,1024261.2535548229,4.935491311532435e-05,0.0,0.0,4.881806671619415e-05,-0.00010823976767080846,3.1111825723201036,1037112.2960099725,1505809.229434476
1.968522506713867,0.6568408355712889,99.423070377725,76.53691272732539,100.076230444818,0.7997420540755399,0.7999999854106165,236038345.32844204,236038303.4996701,887130013.8544883,887129883.4644734,679351.5060839824,5.812502299286541e-05,30.0,1470487.0644576396,8.753380178555844e-05,0.0,0.0,4.820479080080986e-05,-8.758464456453921e-05,4.76140372408554,998743.0104781546,2161824.4229579316
2.9537837600708006,0.9852612533569336,99.16987014025024,75.52825429051003,100.0664015547264,0.7997309217519101,0.7999998850904346,235392790.22148487,235392746.96023452,887130019.1130016,887129883.4644263,655213.5661923954,6.004812862819219e-05,30.0,2116043.603900825,0.00014669689625950946,0.0,0.0,5.5824872106313705e-05,-7.550921946314679e-05,6.193889742251486,963256.8173393053,3110884.0421142667
4.431675640106201,1.4778918800354006,98.80312236786858,74.57309249604796,100.01813488153473,0.7997203748220398,0.7999993828583102,234457693.91192862,234457650.9183294,887130018.6910616,887129883.4643234,632722.9038506823,6.491833371295345e-05,30.0,3051139.6458141683,0.00024263917451931177,0.0,0.0,6.403308361768723e-05,-8.24445580856687e-05,5.9262468395754695,930192.3556966261,4485607.771469312
6.431675640106201,2.0,98.32224525237359,73.72283008792135,99.87583193636756,0.7997109732504881,0.7999978125133848,233231603.59571582,233231561.44582188,887130016.5120285,887129883.4642208,613044.7362541842,4.8888792248742816e-05,30.0,4277229.118322536,0.0003404167590167974,0.0,0.0,6.489455699920654e-05,-8.730617189140573e-05,5.082542404532433,901262.6599941622,6288133.091457635
8.431675640106201,2.0,97.85253549663267,73.09796615942983,99.65955943809224,0.7997041048418386,0.7999954526638805,232034071.73913074,232034028.51669323,887130021.238497,887129883.464098,598766.4645647985,6.477288385024512e-05,30.0,5474762.047452133,0.0004699625267172876,0.0,0.0,6.584450602531433e-05,-8.05459724282202e-05,6.155086915940046,880271.5766981472,8048676.24485393
10.431675640106201,2.0,97.39158323095563,72.60155558600552,99.3813297094574,0.7996986043659186,0.7999923825470356,230858987.5809735,230858944.04116958,887130023.6734104,887129883.463967,587542.2377735255,6.55949638498599e-05,30.0,6649846.522999184,0.0006011524544170075,0.0,0.0,8.924491703510284e-05,-8.036705394480893e-05,6.472476737573743,863770.3723062933,9776216.989466516
12.431675640106201,2.0,96.93795644079107,72.18149729783596,99.05536879773565,0.7996939705703815,0.7999887762059157,229702731.37075168,229702688.36308774,887130021.4777582,887129883.46387,578127.8390428567,4.5132457408567614e-05,30.0,7806102.201084898,0.0006914173692341427,0.0,0.0,9.311828762292862e-05,-8.70192915324589e-05,5.940340624190867,849929.8717025492,11476076.732871614
14.431675640106201,2.0,96.49073283550861,71.8097911455201,98.69471388075918,0.7996898286257661,0.7999848432933342,228562975.85261422,228562932.24597937,887130024.516129,887129883.4637165,569878.0585534971,7.740290261923126e-05,30.0,8945858.318191892,0.0008462231744726052,0.0,0.0,9.173713624477386e-05,-8.575505123540261e-05,6.539310162886977,837801.5249955229,13151679.78286266
