time_days,dt_days,pressure_mean_bar,pressure_min_bar,pressure_max_bar,gas_saturation_min,gas_saturation_max,gas_kg,native_gas_kg,water_kg,native_water_kg,production_kg_day,water_production_kg_day,bhp_bar,produced_kg,water_produced_kg,recharged_kg,lost_kg,gas_balance_residual_kg,water_balance_residual_kg,physical_gas_balance_residual_kg,production_sm3_day,produced_sm3
0.0,0.0,100.0000001586159,99.99181158453159,100.00818904993196,0.7999999999999999,0.8,25050550.505548026,25050549.34049816,887130000.0077524,887129973.2716658,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.001,99.9992487571054,99.66441207490544,100.00819031172622,0.7999963500631664,0.8000000000156207,25050371.925495293,25050370.747235972,887130000.4820368,887129973.2716562,178893.26315200268,2.127086954874844e-06,30.0,178.89326315200267,2.127086954874844e-09,0.3,0.0,9.63866096992394e-07,-9.653825366658407e-06,0.013210418581348915,2099569.0952836373,2099.5690952836376
0.0025,0.0015,99.99813474584572,99.18887651560819,100.00819220442075,0.7999911278972299,0.8000000000390517,25050107.064953543,25050105.885150947,887130000.4720013,887129973.2716396,176874.72326783361,1.5866629430897786e-06,30.0,444.20534805375314,4.507081369509512e-09,0.75,0.0,8.398590125580085e-07,-2.6221536619802364e-05,0.014753570586208298,2075878.6338111013,5213.38704600029
0.004750000000000001,0.0022500000000000007,99.99649164707992,98.50867728006767,100.0081950434694,0.7999836760077448,0.8000000000741979,25049716.197740283,25049715.017726656,887130000.2962549,887129973.2716396,174018.85512550265,1.945552767272585e-06,30.0,835.7477720861343,8.88457509587283e-09,1.4250000000000003,0.0,5.816129484692567e-07,-2.6217159126076e-05,0.01496434258497148,2042360.9239421254,9808.699124870074
0.008125,0.0033749999999999995,99.99408568064561,97.55740568640424,100.0081993020568,0.7999731748213936,0.8000000001269173,25049143.43736577,25049142.22740135,887130001.2513388,887129973.2716395,170015.65231683155,9.395924545520238e-06,30.0,1409.5505986554408,4.059582043700363e-08,2.4375,0.0,1.8445634850650094e-06,-2.6304657170285652e-05,0.04491639936804859,1995377.5957208893,16543.098510428077
0.013187500000000001,0.005062500000000001,99.99059286849811,96.26781046045403,100.0082056899678,0.7999590077683293,0.8000000002059958,25048311.227398746,25048309.99962685,887130001.8375643,887129973.2716395,164690.67131692063,5.114890932371352e-06,30.0,2243.2971221973517,6.64899557821336e-08,3.9562500000000003,0.0,8.85627468694139e-07,-2.627876303494052e-05,0.06272291665454732,1932881.3041143916,26328.310112507184
0.02078125,0.00759375,99.98557590338038,94.5941693089076,100.00821527189467,0.7999405510250559,0.8000000003246129,25047114.756314196,25047113.54734918,887130001.0502267,887129973.271639,157857.50170580778,1.3064279230509871e-05,30.0,3442.0275257758294,1.6569682618881792e-07,6.234375,0.0,1.796284777810797e-06,-2.6656393322736963e-05,0.043916945109231165,1852684.2554075674,40397.1311770084
0.032171875,0.011390625000000001,99.97844631686475,92.54260190906263,100.00822964490338,0.7999179885991871,0.8000000005025368,25045413.002454355,25045411.74399544,887130002.5946095,887129973.271639,149703.86090343978,1.3414565772073736e-05,30.0,5147.248066379074,3.1849711443634533e-07,9.6515625,0.0,1.157764199177791e-06,-2.6503593034489436e-05,0.09341020802021305,1756989.582835411,60410.34064399301
0.049257812500000005,0.017085937500000002,99.96840751428175,90.20387964870268,100.00825120464025,0.7998922367011787,0.8000000007694189,25043015.579161935,25043014.23305117,887130005.9093308,887129973.2716389,140620.71370279507,5.894629061970213e-06,30.0,7549.884791910425,4.19212378174852e-07,14.777343750000002,0.0,1.169517416244048e-06,-2.652208706030171e-05,0.1810620685664599,1650385.8191476655,88608.72960083633
0.07488671875000001,0.025628906250000007,99.95433758376336,87.75330852487188,100.00828354464826,0.7998652835942739,0.8000000011697332,25039655.317454107,25039653.971818015,887130004.9476812,887129973.2716367,131412.15909400105,5.305848211282886e-06,30.0,10917.834697440663,5.551954645585514e-07,22.466015625000004,0.0,1.6700716471973465e-06,-2.8531871185832074e-05,0.18058789635615113,1542310.2196074647,128136.45362757296
